2025-02-18 14:06:18 | CPU Usage: 17.4% | Memory Usage: 92.9%
2025-02-18 14:06:19 | CPU Usage: 17.9% | Memory Usage: 92.9%
2025-02-18 14:06:28 | CPU Usage: 19.0% | Memory Usage: 93.0%
2025-02-18 14:06:29 | CPU Usage: 19.2% | Memory Usage: 92.8%
2025-02-18 14:06:38 | CPU Usage: 18.8% | Memory Usage: 93.3%
2025-02-18 14:06:39 | CPU Usage: 18.5% | Memory Usage: 93.4%
2025-02-18 14:06:48 | CPU Usage: 16.9% | Memory Usage: 94.3%
2025-02-18 14:06:49 | CPU Usage: 15.9% | Memory Usage: 94.3%
2025-02-18 14:06:58 | CPU Usage: 10.6% | Memory Usage: 88.2%
2025-02-18 14:06:59 | CPU Usage: 10.6% | Memory Usage: 88.6%
2025-02-18 14:07:08 | CPU Usage: 10.8% | Memory Usage: 88.7%
2025-02-18 14:07:10 | CPU Usage: 10.6% | Memory Usage: 88.4%
2025-02-18 14:07:18 | CPU Usage: 6.0% | Memory Usage: 87.5%
2025-02-18 14:07:28 | CPU Usage: 5.8% | Memory Usage: 88.2%
2025-02-18 14:10:04 | CPU Usage: 0.0% | Memory Usage: 89.6%
2025-02-18 14:10:06 | CPU Usage: 0.0% | Memory Usage: 90.1%
2025-02-18 14:10:14 | CPU Usage: 7.5% | Memory Usage: 90.0%
2025-02-18 14:10:16 | CPU Usage: 7.1% | Memory Usage: 90.1%
2025-02-18 14:10:24 | CPU Usage: 6.3% | Memory Usage: 90.4%
2025-02-18 14:10:26 | CPU Usage: 6.5% | Memory Usage: 90.7%
2025-02-18 14:10:34 | CPU Usage: 8.6% | Memory Usage: 94.6%
2025-02-18 14:10:36 | CPU Usage: 10.4% | Memory Usage: 94.2%
2025-02-18 14:10:44 | CPU Usage: 10.5% | Memory Usage: 93.8%
2025-02-18 14:10:46 | CPU Usage: 8.3% | Memory Usage: 94.6%
2025-02-18 14:10:54 | CPU Usage: 7.2% | Memory Usage: 94.6%
2025-02-18 14:10:56 | CPU Usage: 7.6% | Memory Usage: 94.6%
2025-02-18 14:11:04 | CPU Usage: 6.7% | Memory Usage: 94.9%
2025-02-18 14:11:06 | CPU Usage: 6.8% | Memory Usage: 94.9%
2025-02-18 14:11:14 | CPU Usage: 7.5% | Memory Usage: 95.6%
2025-02-18 14:11:16 | CPU Usage: 7.8% | Memory Usage: 95.3%
2025-02-18 14:11:22 | CPU Usage: 0.0% | Memory Usage: 95.2%
2025-02-18 14:11:24 | CPU Usage: 9.8% | Memory Usage: 95.0%
2025-02-18 14:12:03 | CPU Usage: 0.0% | Memory Usage: 93.3%
2025-02-18 14:12:04 | CPU Usage: 0.0% | Memory Usage: 93.9%
2025-02-18 14:12:13 | CPU Usage: 12.5% | Memory Usage: 93.4%
2025-02-18 14:12:14 | CPU Usage: 13.5% | Memory Usage: 90.7%
2025-02-18 14:12:23 | CPU Usage: 9.1% | Memory Usage: 88.3%
2025-02-18 14:12:24 | CPU Usage: 6.9% | Memory Usage: 88.1%
2025-02-18 14:12:33 | CPU Usage: 6.0% | Memory Usage: 88.1%
2025-02-18 14:12:34 | CPU Usage: 5.9% | Memory Usage: 88.2%
2025-02-18 14:12:43 | CPU Usage: 16.7% | Memory Usage: 85.7%
2025-02-18 14:12:44 | CPU Usage: 16.7% | Memory Usage: 88.3%
2025-02-18 14:12:53 | CPU Usage: 10.6% | Memory Usage: 88.9%
2025-02-18 14:12:54 | CPU Usage: 10.9% | Memory Usage: 88.9%
2025-02-18 14:13:03 | CPU Usage: 7.2% | Memory Usage: 90.4%
2025-02-18 14:13:05 | CPU Usage: 7.2% | Memory Usage: 90.2%
2025-02-18 14:13:13 | CPU Usage: 6.9% | Memory Usage: 90.8%
2025-02-18 14:13:15 | CPU Usage: 7.0% | Memory Usage: 90.7%
2025-02-18 14:13:23 | CPU Usage: 7.5% | Memory Usage: 91.3%
2025-02-18 14:13:25 | CPU Usage: 8.0% | Memory Usage: 90.6%
2025-02-18 14:13:33 | CPU Usage: 8.7% | Memory Usage: 88.9%
2025-02-18 14:13:35 | CPU Usage: 9.1% | Memory Usage: 89.4%
2025-02-18 14:13:55 | CPU Usage: 0.0% | Memory Usage: 89.2%
2025-02-18 14:13:57 | CPU Usage: 0.0% | Memory Usage: 89.7%
2025-02-18 14:14:05 | CPU Usage: 7.0% | Memory Usage: 89.2%
2025-02-18 14:14:07 | CPU Usage: 7.0% | Memory Usage: 90.4%
2025-02-18 14:14:10 | CPU Usage: 0.0% | Memory Usage: 91.3%
2025-02-18 14:14:15 | CPU Usage: 9.8% | Memory Usage: 92.3%
2025-02-18 14:14:20 | CPU Usage: 8.4% | Memory Usage: 91.6%
2025-02-18 14:14:25 | CPU Usage: 6.4% | Memory Usage: 93.0%
2025-02-18 14:14:30 | CPU Usage: 9.8% | Memory Usage: 93.5%
2025-02-18 14:14:35 | CPU Usage: 9.7% | Memory Usage: 94.1%
2025-02-18 14:14:40 | CPU Usage: 6.1% | Memory Usage: 93.3%
2025-02-18 14:14:45 | CPU Usage: 6.8% | Memory Usage: 92.7%
2025-02-18 14:14:50 | CPU Usage: 7.1% | Memory Usage: 92.8%
2025-02-18 14:14:55 | CPU Usage: 9.1% | Memory Usage: 93.7%
2025-02-18 14:15:00 | CPU Usage: 10.9% | Memory Usage: 94.7%
2025-02-18 14:15:05 | CPU Usage: 12.4% | Memory Usage: 94.9%
2025-02-18 14:15:10 | CPU Usage: 15.2% | Memory Usage: 97.6%
