Group,Tag1 NodeId,Tag1 Name,Tag1 Value,Tag2 NodeId,Tag2 Name,Tag2 Value,Timestamp,Scan Rate (s),CPU (%),Memory (%)
18,ns=2;s=Channel2.RX3i.A129,A129,,ns=2;s=Channel2.RX3i.A13,A13,,49:46.0,0,0,93.3
19,ns=2;s=Channel2.RX3i.A130,A130,,ns=2;s=Channel2.RX3i.A131,A131,,49:46.0,0,0,93.3
20,ns=2;s=Channel2.RX3i.A132,A132,,ns=2;s=Channel2.RX3i.A133,A133,,49:46.0,0,0,93.3
21,ns=2;s=Channel2.RX3i.A134,A134,,ns=2;s=Channel2.RX3i.A135,A135,,49:46.0,0,0,93.3
22,ns=2;s=Channel2.RX3i.A136,A136,,ns=2;s=Channel2.RX3i.A137,A137,,49:46.0,0,0,93.3
23,ns=2;s=Channel2.RX3i.A138,A138,,ns=2;s=Channel2.RX3i.A139,A139,,49:46.0,0,0,93.3
24,ns=2;s=Channel2.RX3i.A14,A14,,ns=2;s=Channel2.RX3i.A140,A140,,49:46.0,0,0,93.3
25,ns=2;s=Channel2.RX3i.A141,A141,,ns=2;s=Channel2.RX3i.A142,A142,,49:46.0,0,0,93.3
1,ns=2;s=Channel2.RX3i.A1,A1,,ns=2;s=Channel2.RX3i.A10,A10,,49:47.7,1.746,10.1,93.2
2,ns=2;s=Channel2.RX3i.A100,A100,,ns=2;s=Channel2.RX3i.A1000,A1000,,49:47.7,1.746,0,93.2
3,ns=2;s=Channel2.RX3i.A101,A101,,ns=2;s=Channel2.RX3i.A102,A102,,49:47.7,1.746,20,93.2
4,ns=2;s=Channel2.RX3i.A103,A103,,ns=2;s=Channel2.RX3i.A104,A104,,49:47.7,1.746,0,93.2
5,ns=2;s=Channel2.RX3i.A105,A105,,ns=2;s=Channel2.RX3i.A106,A106,,49:47.7,1.746,0,93.2
6,ns=2;s=Channel2.RX3i.A107,A107,,ns=2;s=Channel2.RX3i.A108,A108,,13-02-2025 14:49:47.733,1.746,0,93.2
7,ns=2;s=Channel2.RX3i.A109,A109,,ns=2;s=Channel2.RX3i.A11,A11,,49:47.7,1.746,0,93.2
8,ns=2;s=Channel2.RX3i.A110,A110,,ns=2;s=Channel2.RX3i.A111,A111,,49:47.7,1.746,33.3,93.2
9,ns=2;s=Channel2.RX3i.A112,A112,,ns=2;s=Channel2.RX3i.A113,A113,,49:47.7,1.746,0,93.2
10,ns=2;s=Channel2.RX3i.A114,A114,,ns=2;s=Channel2.RX3i.A115,A115,,49:47.7,1.746,0,93.2
11,ns=2;s=Channel2.RX3i.A116,A116,,ns=2;s=Channel2.RX3i.A117,A117,,49:47.7,1.746,0,93.2
12,ns=2;s=Channel2.RX3i.A118,A118,,ns=2;s=Channel2.RX3i.A119,A119,,49:47.7,1.746,0,93.2
13,ns=2;s=Channel2.RX3i.A12,A12,,ns=2;s=Channel2.RX3i.A120,A120,,49:47.7,1.746,0,93.2
14,ns=2;s=Channel2.RX3i.A121,A121,,ns=2;s=Channel2.RX3i.A122,A122,,49:47.7,1.746,33.3,93.2
15,ns=2;s=Channel2.RX3i.A123,A123,,ns=2;s=Channel2.RX3i.A124,A124,,49:47.7,1.746,0,93.2
16,ns=2;s=Channel2.RX3i.A125,A125,,ns=2;s=Channel2.RX3i.A126,A126,,49:47.7,1.746,0,93.2
17,ns=2;s=Channel2.RX3i.A127,A127,,ns=2;s=Channel2.RX3i.A128,A128,,49:47.7,1.746,14.3,93.2
18,ns=2;s=Channel2.RX3i.A129,A129,,ns=2;s=Channel2.RX3i.A13,A13,,49:47.7,1.746,100,93.2
19,ns=2;s=Channel2.RX3i.A130,A130,,ns=2;s=Channel2.RX3i.A131,A131,,49:47.7,1.746,0,93.2
20,ns=2;s=Channel2.RX3i.A132,A132,,ns=2;s=Channel2.RX3i.A133,A133,,49:47.7,1.746,16.7,93.2
21,ns=2;s=Channel2.RX3i.A134,A134,,ns=2;s=Channel2.RX3i.A135,A135,,49:47.7,1.746,50,93.2
22,ns=2;s=Channel2.RX3i.A136,A136,,ns=2;s=Channel2.RX3i.A137,A137,,49:47.7,1.746,0,93.2
23,ns=2;s=Channel2.RX3i.A138,A138,,ns=2;s=Channel2.RX3i.A139,A139,,49:47.7,1.746,16.7,93.2
24,ns=2;s=Channel2.RX3i.A14,A14,,ns=2;s=Channel2.RX3i.A140,A140,,49:47.7,1.746,0,93.2
25,ns=2;s=Channel2.RX3i.A141,A141,,ns=2;s=Channel2.RX3i.A142,A142,,49:47.7,1.746,0,93.2
1,ns=2;s=Channel2.RX3i.A1,A1,,ns=2;s=Channel2.RX3i.A10,A10,,49:49.2,1.448,8.9,93.3
2,ns=2;s=Channel2.RX3i.A100,A100,,ns=2;s=Channel2.RX3i.A1000,A1000,,49:49.2,1.448,0,93.3
3,ns=2;s=Channel2.RX3i.A101,A101,,ns=2;s=Channel2.RX3i.A102,A102,,49:49.2,1.448,0,93.3
4,ns=2;s=Channel2.RX3i.A103,A103,,ns=2;s=Channel2.RX3i.A104,A104,,49:49.2,1.448,0,93.3
5,ns=2;s=Channel2.RX3i.A105,A105,,ns=2;s=Channel2.RX3i.A106,A106,,49:49.2,1.448,20,93.2
6,ns=2;s=Channel2.RX3i.A107,A107,,ns=2;s=Channel2.RX3i.A108,A108,,13-02-2025 14:49:49.185,1.448,0,93.2
7,ns=2;s=Channel2.RX3i.A109,A109,,ns=2;s=Channel2.RX3i.A11,A11,,49:49.2,1.448,20,93.2
8,ns=2;s=Channel2.RX3i.A110,A110,,ns=2;s=Channel2.RX3i.A111,A111,,49:49.2,1.448,0,93.2
9,ns=2;s=Channel2.RX3i.A112,A112,,ns=2;s=Channel2.RX3i.A113,A113,,49:49.2,1.448,0,93.2
10,ns=2;s=Channel2.RX3i.A114,A114,,ns=2;s=Channel2.RX3i.A115,A115,,49:49.2,1.448,0,93.2
11,ns=2;s=Channel2.RX3i.A116,A116,,ns=2;s=Channel2.RX3i.A117,A117,,49:49.2,1.448,20,93.2
12,ns=2;s=Channel2.RX3i.A118,A118,,ns=2;s=Channel2.RX3i.A119,A119,,49:49.2,1.448,0,93.2
13,ns=2;s=Channel2.RX3i.A12,A12,,ns=2;s=Channel2.RX3i.A120,A120,,49:49.2,1.448,0,93.2
14,ns=2;s=Channel2.RX3i.A121,A121,,ns=2;s=Channel2.RX3i.A122,A122,,49:49.2,1.448,0,93.2
15,ns=2;s=Channel2.RX3i.A123,A123,,ns=2;s=Channel2.RX3i.A124,A124,,49:49.2,1.448,50,93.2
16,ns=2;s=Channel2.RX3i.A125,A125,,ns=2;s=Channel2.RX3i.A126,A126,,49:49.2,1.448,0,93.2
17,ns=2;s=Channel2.RX3i.A127,A127,,ns=2;s=Channel2.RX3i.A128,A128,,49:49.2,1.448,0,93.2
18,ns=2;s=Channel2.RX3i.A129,A129,,ns=2;s=Channel2.RX3i.A13,A13,,49:49.2,1.448,0,93.2
19,ns=2;s=Channel2.RX3i.A130,A130,,ns=2;s=Channel2.RX3i.A131,A131,,49:49.2,1.448,0,93.2
20,ns=2;s=Channel2.RX3i.A132,A132,,ns=2;s=Channel2.RX3i.A133,A133,,49:49.2,1.448,0,93.2
21,ns=2;s=Channel2.RX3i.A134,A134,,ns=2;s=Channel2.RX3i.A135,A135,,49:49.2,1.448,20,93.2
22,ns=2;s=Channel2.RX3i.A136,A136,,ns=2;s=Channel2.RX3i.A137,A137,,49:49.2,1.448,0,93.2
23,ns=2;s=Channel2.RX3i.A138,A138,,ns=2;s=Channel2.RX3i.A139,A139,,49:49.2,1.448,0,93.2
24,ns=2;s=Channel2.RX3i.A14,A14,,ns=2;s=Channel2.RX3i.A140,A140,,49:49.2,1.448,0,93.2
25,ns=2;s=Channel2.RX3i.A141,A141,,ns=2;s=Channel2.RX3i.A142,A142,,49:49.2,1.448,0,93.2
1,ns=2;s=Channel2.RX3i.A1,A1,,ns=2;s=Channel2.RX3i.A10,A10,,49:49.5,1.729,8.9,93.2
2,ns=2;s=Channel2.RX3i.A100,A100,,ns=2;s=Channel2.RX3i.A1000,A1000,,49:49.5,1.729,0,93.2
3,ns=2;s=Channel2.RX3i.A101,A101,,ns=2;s=Channel2.RX3i.A102,A102,,49:49.5,1.729,0,93.2
4,ns=2;s=Channel2.RX3i.A103,A103,,ns=2;s=Channel2.RX3i.A104,A104,,49:49.5,1.729,0,93.2
5,ns=2;s=Channel2.RX3i.A105,A105,,ns=2;s=Channel2.RX3i.A106,A106,,49:49.5,1.729,0,93.2
6,ns=2;s=Channel2.RX3i.A107,A107,,ns=2;s=Channel2.RX3i.A108,A108,,13-02-2025 14:49:49.461,1.729,0,93.2
7,ns=2;s=Channel2.RX3i.A109,A109,,ns=2;s=Channel2.RX3i.A11,A11,,49:49.5,1.729,0,93.2
8,ns=2;s=Channel2.RX3i.A110,A110,,ns=2;s=Channel2.RX3i.A111,A111,,49:49.5,1.729,0,93.2
9,ns=2;s=Channel2.RX3i.A112,A112,,ns=2;s=Channel2.RX3i.A113,A113,,49:49.5,1.729,14.3,93.2
10,ns=2;s=Channel2.RX3i.A114,A114,,ns=2;s=Channel2.RX3i.A115,A115,,49:49.5,1.729,0,93.2
11,ns=2;s=Channel2.RX3i.A116,A116,,ns=2;s=Channel2.RX3i.A117,A117,,49:49.5,1.729,0,93.2
12,ns=2;s=Channel2.RX3i.A118,A118,,ns=2;s=Channel2.RX3i.A119,A119,,49:49.5,1.729,0,93.2
13,ns=2;s=Channel2.RX3i.A12,A12,,ns=2;s=Channel2.RX3i.A120,A120,,49:49.5,1.729,0,93.2
14,ns=2;s=Channel2.RX3i.A121,A121,,ns=2;s=Channel2.RX3i.A122,A122,,49:49.5,1.729,0,93.2
15,ns=2;s=Channel2.RX3i.A123,A123,,ns=2;s=Channel2.RX3i.A124,A124,,49:49.5,1.729,0,93.2
16,ns=2;s=Channel2.RX3i.A125,A125,,ns=2;s=Channel2.RX3i.A126,A126,,49:49.5,1.729,0,93.2
17,ns=2;s=Channel2.RX3i.A127,A127,,ns=2;s=Channel2.RX3i.A128,A128,,49:49.5,1.729,12.5,93.2
18,ns=2;s=Channel2.RX3i.A129,A129,,ns=2;s=Channel2.RX3i.A13,A13,,49:49.5,1.729,0,93.2
19,ns=2;s=Channel2.RX3i.A130,A130,,ns=2;s=Channel2.RX3i.A131,A131,,49:49.5,1.729,0,93.2
20,ns=2;s=Channel2.RX3i.A132,A132,,ns=2;s=Channel2.RX3i.A133,A133,,49:49.5,1.729,12.5,93.2
21,ns=2;s=Channel2.RX3i.A134,A134,,ns=2;s=Channel2.RX3i.A135,A135,,49:49.5,1.729,0,93.2
22,ns=2;s=Channel2.RX3i.A136,A136,,ns=2;s=Channel2.RX3i.A137,A137,,49:49.5,1.729,0,93.2
23,ns=2;s=Channel2.RX3i.A138,A138,,ns=2;s=Channel2.RX3i.A139,A139,,49:49.5,1.729,0,93.2
24,ns=2;s=Channel2.RX3i.A14,A14,,ns=2;s=Channel2.RX3i.A140,A140,,49:49.5,1.729,0,93.2
25,ns=2;s=Channel2.RX3i.A141,A141,,ns=2;s=Channel2.RX3i.A142,A142,,49:49.5,1.729,0,93.2
1,ns=2;s=Channel2.RX3i.A1,A1,,ns=2;s=Channel2.RX3i.A10,A10,,49:51.7,2.564,7.9,93.3
2,ns=2;s=Channel2.RX3i.A100,A100,,ns=2;s=Channel2.RX3i.A1000,A1000,,49:51.7,2.564,0,93.3
3,ns=2;s=Channel2.RX3i.A101,A101,,ns=2;s=Channel2.RX3i.A102,A102,,49:51.7,2.564,12.5,93.3
